,name,packets_sent,packets_received,avg_packet_latency_ns,avg_packet_latency_cyc,min_packet_latency_ns,max_packet_latency_ns,total_hops,avg_time_per_hop,avg_cyc_per_hop,min_hop_path,max_hop_path,avg_hop_path,accepted_traffic,min_accepted_traffic,max_accepted_traffic,offered_traffic,capture_period
0,u_rand_0.01,187,187,60.05,6.01,40.00,110.00,552,20.34,2.03,2,5,2.95,0.01,0.01,0.01,0.01,2000
1,u_rand_0.1,1819,1819,67.72,6.77,40.00,150.00,5487,22.45,2.24,2,5,3.02,0.10,0.09,0.10,0.10,2000
2,u_rand_0.2,3663,3663,92.09,9.21,40.00,430.00,11070,30.47,3.05,2,5,3.02,0.20,0.19,0.20,0.20,2000
3,u_rand_0.225,4025,4025,98.82,9.88,40.00,360.00,12093,32.89,3.29,2,5,3.00,0.22,0.22,0.23,0.23,2000
4,u_rand_0.25,4542,4542,243.19,24.32,40.00,2440.00,13521,81.69,8.17,2,5,2.98,0.24,0.20,0.25,0.25,2000
5,u_rand_0.275,4978,4978,980.78,98.08,40.00,5710.00,14948,326.62,32.66,2,5,3.00,0.25,0.18,0.28,0.28,2000
6,u_rand_0.3,5587,5587,2386.40,238.64,40.00,7920.00,16749,796.04,79.60,2,5,3.00,0.25,0.18,0.29,0.30,2000
7,u_rand_0.4,7277,7277,5537.28,553.73,40.00,15010.00,21671,1859.39,185.94,2,5,2.98,0.26,0.16,0.34,0.40,2000
8,u_rand_0.5,9030,9030,9697.85,969.79,40.00,22120.00,27019,3241.11,324.11,2,5,2.99,0.26,0.18,0.34,0.50,2000
9,u_rand_0.6,10774,10774,13669.21,1366.92,50.00,30560.00,32137,4582.63,458.26,2,5,2.98,0.25,0.18,0.32,0.60,2000
10,u_rand_0.8,14367,14367,21207.07,2120.71,50.00,46610.00,43025,7081.51,708.15,2,5,2.99,0.25,0.17,0.33,0.80,2000
11,u_rand_1,18000,18000,29406.49,2940.65,50.00,65190.00,54075,9788.57,978.86,2,5,3.00,0.26,0.14,0.35,1.00,2000
12,loc_0.01,191,191,53.25,5.32,40.00,100.00,501,20.30,2.03,2,5,2.62,0.01,0.01,0.01,0.01,2000
13,loc_0.1,1792,1792,57.46,5.75,40.00,140.00,4640,22.19,2.22,2,5,2.59,0.10,0.09,0.10,0.10,2000
14,loc_0.2,3563,3563,69.67,6.97,40.00,220.00,9297,26.70,2.67,2,5,2.61,0.20,0.19,0.20,0.20,2000
