,name,offered_traffic,packet_lenght,warmup_period,measurement_period,avg_packet_latency,min_packet_latency,max_packet_latency,accepted_traffic,min_accepted_traffic,max_accepted_traffic
0,u_rand,0.05,4,1000,8000,182.39,90.00,390.00,0.05,0.05,0.05
1,u_rand,0.10,4,1000,8000,186.49,90.00,450.00,0.10,0.10,0.10
2,u_rand,0.20,4,1000,8000,195.72,90.00,640.00,0.20,0.19,0.20
3,u_rand,0.30,4,1000,8000,236.18,90.00,900.00,0.30,0.29,0.30
4,u_rand,0.40,4,1000,8000,3871.27,820.00,6790.00,0.37,0.34,0.39
5,u_rand,0.46,4,1000,8000,11938.72,2230.00,22180.00,0.36,0.32,0.40
6,u_rand,0.50,4,1000,8000,16921.26,3400.00,30250.00,0.36,0.32,0.42
7,u_rand,0.55,4,1000,8000,23794.61,4630.00,43430.00,0.35,0.30,0.39
8,u_rand,0.60,4,1000,8000,30379.27,5630.00,55640.00,0.34,0.28,0.38
9,u_rand,0.65,4,1000,8000,35576.47,6400.00,65120.00,0.35,0.27,0.39
